Equipment Description,Model,Problem,Initial Diagnosis,Work Done
Ceiling Mount,,issue,&nbsp;Light reported to be non-functional / unstable positioning.,"Upon inspection, it was found that the mounting/positioning screw was loose, preventing the OT light from remaining fixed in the desired position. The screw was tightened and secured properly. After adjustment, the OT light was stable and functioning normally."
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,No issue. Working .
General Adult/Pediatric,Avea,issue,DC output voltage battery.,"Upon inspection, the battery DC output voltage was checked and found to be within the normal range. The battery was then reset/reseated properly.After resetting, the monitor powered on and was tested. The unit is now functioning normally."
General,MBC601 UAM,System not functioning properly.,System not functioning properly.,"Upon inspection, the electrosurgical unit was found to be non-operational.Upon inspection, it was found that the bipolar display was not shown and was frozen. All the connections were reset properly.Continuity and operational tests were performed, confirming proper activation response. After verification, the electrosurgical unit is operating smoothly and ready for clinical use."
Manual,NA,Issue,zeroing issue.,"BP cuff from female surgical ward was non-functional.Upon inspection, there was an zeroing issue which was fixed properly."
5 Parameters Bedside,C80,issue,ECG waveform was distorted showing unclear signals.,"Upon inspection, it was found that the ECG cable was tangled and not properly positioned. The cable was untangled, checked, and reconnected correctly. After adjusting the ECG cable, the monitor was tested and found to be functioning properly with a clear ECG display."
,Lumis150,Issue,Reported inadequate delivery of IPAP and EPAP pressures.,"As reported, the BiPAP machine was suspected to be delivering insufficient IPAP and EPAP pressures. The unit was evaluated using a VT analyzer and subjected to comprehensive performance testing. Pressure delivery was found to be within specified and required ranges. After verification, the machine was confirmed to be functioning correctly and is ready for clinical use."
,Lumis150,Issue,Alarm notification reported during operation.,"The BiPAP machine was evaluated following reports of unexpected alarm notifications. A comprehensive functional and performance test was performed, during which no abnormal alarms were observed. All operating parameters were found to be within normal limits. The machine was verified to be functioning properly and is ready for continued clinical use."
Digital,BPM-106,issue,zeroing issue.,"BP cuff from ENT ward was non-functional.Upon inspection, there was an zeroing issue which was fixed properly."
,EN-S7 SMART,issue,Syringe calibration issue.,"Upon inspection, syringe calibration was performed for 5 ml, 10 ml, and 50 ml volumes. After completing calibration and testing, the pump was found to be delivering the set volumes accurately. The machine is now functioning properly and performing within acceptable limits."
General Adult/Pediatric,Avea,Issue,&nbsp;O₂ calibration failure,"The ventilator was inspected following a reported O₂ calibration failure. During troubleshooting, the oxygen (O₂) sensor was tested and found to be faulty and out of specification. The defective O₂ sensor was replaced with a new, compatible sensor. After replacement, O₂ calibration was performed successfully. The ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings."
,i7,issue,Display issue.,"Upon incharge request, it was inspected and found that the display was not working and the further inspection confirmed that the ribbon cable was damaged which cannot be repaired."
,S7,Issue,Not powering on,"Upon inspection, it was found that the machine was not powering on and further inspection confirmed that the power board was damaged that cannot be repaired."
,TE-LM730N02,Issue,Reported to be non-functional by incharge.,"Upon inspection, it was found that there was no AC indication and the further inspection confirmed that the power board was damaged, which cannot be repaired,&nbsp;"
,MS31,Issue,Display stuck.,"Upon inspection, it was found that the display was stuck, software issue."
,MS31,iSSUE,Physical damage.,"Upon inspection, it was found that the plunger was damaged which cannot be repaired."
,MS31,Issue,Reported to be non-functional.,"Upon inspection, it was found that the display handle was broken and battery needs to be replaced."
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,No issue.
5 Parameters Bedside,Truescope Ultra Q5,issue,Was inspected on incharge.,No issue.
,Piston Compressor,Issue,Power cord damaged.,Repaired.
,NA,issue,Was inspected on incharge request.,working
General Adult/Pediatric,AVEA,issue,Ventilator was not functioning due to circuit occlusion.,"Upon inspection, a circuit occlusion was identified as the cause of the malfunction. The issue was resolved by thoroughly cleaning the expiratory valve filter. After cleaning, comprehensive testing was performed to verify proper functionality. The ventilator is now operating smoothly."
,MS 31,Issue,Reported to be non-functional.,Battery needs to be replaced.
,MS31,ISSUE,Reported to be non-functional.,"Upon inspection, display screen was stuck, one keypad was missing and also battery needs to be replaced."
,MS31,issue,Reported to be non-functional.,"Upon inspection, it was found that the display screen was damaged completely. Also, the battery voltage was very low which needs replacement."
,TE-LM730,Issue,Air inline error.,"Upon inspection, it was found that the sensor ribbon cable was damaged which cannot be repaired."
5 Parameters Bedside,C80,ISSUE,Reported to be non-functional.,Software issue.
7 Parameters Bedside,C50,ISSUE,The patient monitor was reported to not functioning properly.,"Upon inspection, all external cables and internal wire connections were checked. Loose connections were identified and properly reconnected. The monitor was then restarted. After restarting, the patient monitor powered on and functioned normally. All parameters were observed to be working properly."
General Adult/Pediatric,AVEA,Issue,Leak test failure.,"During inspection, the expiratory valve and flow sensor were found to be contaminated. Both components were thoroughly cleaned and reinstalled properly. After cleaning and reassembly, the ventilator was tested and the leak test passed successfully. The machine was restored to normal operating condition."
General Adult/Pediatric,crius V6,issue,Leak test failed.,"Upon inspection, the leakage test was failed. It was an operational issue, after performing the comprehensive test correctly, the machine was functioning properly.&nbsp;Also, the operational training was given to the staffs."
General Adult/Pediatric,VG70,ISSUE,Leak test failed.,"The ventilator was inspected thoroughly. During inspection, the leak test initially failed due to improper connection of the patient circuit. The circuit was reconnected correctly, resolving the operational issue. An artificial lung (test lung) was then connected, and the oxygen (O₂) sensor check and leak test were performed again and passed successfully. The ventilator was fully tested and confirmed to be functioning properly."
,S7,Issue,The equipment was reported for inspection to verify whether the syringe pumps and infusion pumps were in working or non-working condition.,"During the inspection, power supply, display function, alarm system, and basic operational performance were checked. The machine is inworking condition."
,s7,issue,The equipment was reported for inspection to verify whether the syringe pumps and infusion pumps were in working or non-working condition.&nbsp;,"During the inspection, power supply, display function, alarm system, and basic operational performance were checked.The machine is in working condition."
,TE-LM730,Issue,The equipment was reported for inspection to verify whether the syringe pumps and infusion pumps were in working or non-working condition.,"During the inspection, power supply, display function, alarm system, and basic operational performance were checked. The machine is in working condition."
,i7,Issue,The equipment was reported for inspection to verify whether the syringe pumps and infusion pumps were in working or non-working condition.,"During the inspection, power supply, display function, alarm system, and basic operational performance were checked. The machine is working properly."
,Prima 450,Issue,Device reported to be non-functional.,"Upon inspection, it was identified that the oxygen flowmeter encoder was loose and not functioning correctly. The encoder was securely tightened and properly aligned. After this adjustment, the anesthesia machine was tested and confirmed to be operating smoothly and within normal parameters."
,Prima 450,ISSUE,Device reported to have non-functional flowmeter.,"Upon inspection, it was identified that the oxygen flowmeter encoder was loose and not functioning correctly. The encoder was securely tightened and properly aligned. After this adjustment, the anesthesia machine was tested and confirmed to be operating smoothly and within normal parameters."
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,No issue.
Electric,SCHAERERARCUS 501,ISSUE,Headrest was fallen.,"Upon inspection, it was found that the headrest had become detached during the procedure due to improper locking. The headrest was correctly reinstalled and securely locked. Additionally, operational training was provided to the medical staff on the proper locking mechanism and handling of the headrest. After verification, the OT table was confirmed to be functioning properly and safe for clinical use."
12 channel,PB216,Issue,Printing malfunction (continuous printing with extra pages).,"The device was reported to be printing continuously with additional pages. Upon inspection, it was found that an incorrect print layout format had been selected. The print format was corrected to 3×4 + 1R. After reconfiguring the settings, printing returned to the normal and standard format. The machine was tested and confirmed to be operating smoothly."
Dental,RAY98(P),Issue,The exposure switch was not functional.,"The portable X-ray unit was reported to be non-operational. Upon inspection, the exposure switch was found to be non-responsive. Further evaluation confirmed that the exposure switch was faulty. The defective switch was replaced with a new one. After replacement and functional testing, the unit was confirmed to be operating smoothly and is ready for use."
,Benefusion VP3,Issue,The infusion pump was reported to be malfunctioning.,"Upon inspection, it was found that the pump body/motor assembly was misaligned, which affected the peristaltic mechanism and resulted in unintended continuous bolus delivery. The motor assembly was repositioned correctly and secured firmly. After correction and functional testing, normal peristaltic movement was restored, and the infusion pump is now operating smoothly."
General with Neonatal,NKV550,Issue,&nbsp;It was reported to have an air supply loss error.,"Upon inspection, the compressor was not powered on by the staff. The staff was then given operational training on this matter. After turning on the compressor, the error has been rectified"
General Adult/Pediatric,VG70,Issue,Low FiO2,"Upon inspection, it was found that the flow sensor membrane was dirty and required cleaning. After cleaning the flow sensor, the calibration was successfully completed, and the ventilator passed the pre-use test, confirming it is now functioning properly."
General Adult/Pediatric,AVEA,Issue,O₂ calibration failure.,"The ventilator was inspected following a reported O₂ calibration failure. During troubleshooting, the oxygen (O₂) sensor was tested and found to be faulty and out of specification. The defective O₂ sensor was replaced with a new, compatible sensor. After replacement, O₂ calibration was performed successfully. The ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings."
Electric,Sim Move 800,Issue,Table was non-functional and unresponsive.,"Upon thorough inspection, it was found that the battery had been overcharged, causing the system to become completely unresponsive. The table was not operating via the remote control or the onboard display panel due to an unstable battery. The battery was properly discharged and then recharged on AC. After these actions, the OT table was tested and is now fully operational, functioning smoothly without any further issues.Note: To resolve this issue permanently the batteries needs to be replaced."
General Adult/Pediatric,AVEA,Issue,O₂ calibration failure,"The ventilator was inspected following a reported O₂ calibration failure. During troubleshooting, the oxygen (O₂) sensor was tested and found to be faulty and out of specification. The defective O₂ sensor was replaced with a new, compatible sensor. After replacement, O₂ calibration was performed successfully. The ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings."
5 Parameters Bedside,,Issue,Was inspected on department incharge request.,"Upon, inspection it was found that the display ribbon cable was damaged which cannot be replaced. Out of Order."
5 Parameters Bedside,REF: 863068,ISSUE,Was inspected on department incharge request.,"Upon inspection, it was found that the display has backlight issue whuch cannot be repaired."
5 Parameters Bedside,SureSigns VM8,issue,Was inspected on department's incharge.,Power Supply Issue. Out of Order
5 Parameters Bedside,SureSigns VM8,ISSUE,Was inspected on request from department's incharge.,Display ribbon cable was damaged which cannot be repaired.
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,"No issue, the monitor was working."
,CNB69008,ISSUE,Was inspected on incharge request.,"No issue, working."
,DS 24,issue,Was inspected on incharge request.,Broken nozzle.
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,No issue. Machine is working properly.
,NA,issue,Was inspected on incharge request.,"No oxygen connector , no power circuit."
,DS 24,issue,Was inspected on incharge request.,No nozzle.
,NA,issue,Was inspected on incharge request.,no issue found on inspection.
5 Parameters Bedside,Truescope Ultra Q5,Issue,Was inspected on incharge request.,No issues.&nbsp;
5 Parameters Bedside,H9,issue,Was inspected on incharge request.,Main board issue.
5 Parameters Bedside,H9,Issue,Was inspected on incharge request.,No issue.
5 Parameters Bedside,H9,issue,Was inspected on incharge request.,Software issue.
7 Parameters Bedside,H9,issue,Was inspected on incharge request.,working
5 Parameters Bedside,H9,issue,Was inspected on incharge request.,working.
,N/A,issue,Was inspected on incharge request.,Switch was replaced. Machine is now functioning well.
,N/A,Issue,Was inspected on incharge request.,No filter and nozzle.
,KL-602,issue,Was inspected on incharge request.,plunger break
,Benefusion VP3,issue,Was inspected on incharge request.,working.
,,issue,Was inspected on incharge request.,system error.
,Benefusion VP3,Issue,Was inspected on incharge request.,"Was displaying occlusion error. Upon inspection, the sensor was damaged."
5 Parameters Bedside,H9,Issue,Was inspected on incharge request.,Display was not working.
7 Parameters Bedside,C50,ISSUE,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 5 error while other parameters are accurate."
7 Parameters Bedside,H9,Issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 5 error while other parameters are accurate."
7 Parameters Bedside,C50,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 5 error while other parameters are accurate."
7 Parameters Bedside,H9,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 5 error while other parameters are accurate."
5 Parameters Bedside,H9,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 5 error while other parameters are accurate."
5 Parameters Bedside,H9,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 7 error while other parameters are accurate."
7 Parameters Bedside,H9,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. NIBP shows ± 7 error while other parameters are accurate."
5 Parameters Bedside,C50,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. All the &nbsp;parameters are accurate."
5 Parameters Bedside,C80,issue,The monitor's parameters were inspected.,"The monitor was analyzed using fluke patient monitor analyzer. Its parameter like ECG, NIBP, RR and SPO2 were analyzed. All the parameters are accurate."
General Adult/Pediatric,Hamilton C1,ISSUE,O2 sensors and batteries issues.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton C1,ISSUE,O2 sensors and batteries issues.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,ISSUE,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,Issue,O2 sensors and batteries issues.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,Issue,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,Issue,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,issue,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,Issue,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
Transport,Hamilton T1,Issue,O2 sensors and batteries issue.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
General Adult/Pediatric,Hamilton C1,Issue,O2 sensors and batteries issues.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
General Adult/Pediatric,N/A,Issue,O2 sensors and batteries issues.,"Upon inspection, it was found that there are no any technical issues but needed O2 sensors and batteries to make it fully functional."
General Adult/Pediatric,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed."
General Adult/Pediatric,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed."
General with Neonatal,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed.&nbsp;"
General with Neonatal,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed.&nbsp;"
General with Neonatal,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed."
General Adult/Pediatric,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed."
General with Neonatal,AVEA,Issue,O2 sensor and battery issue.,"Upon inspection, it was found that there is no technical issue but to make the ventilators fully functional O2 sensors and batteries are needed.&nbsp;"
General with Neonatal,NKV550,Issue,O2 sensor and flow sensor issue.,"Upon inspection, it was found that the O2 sensor is expired which needs to be replaced. Also, flow sensor is needed."
General with Neonatal,NKV550,Issue,Reported to cross check the machine .,"Upon inspection, all the comprehensive tests of machine were performed and found to be working smoothly."
General with Neonatal,NKV550,Issue,Reported to be crosschecked whether machine is fully functional or not.,"Upon inspection, all comprehensive tests were found to be pass and working smoothly."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,N/A,issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.Display and inspiratory port issue .,"Upon inspection, O2 sensor was expired which needs to be replaced. Also, it was found that the inspiratory valve was damaged which needs replacement."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed. Display and inspiratory port issue.,"Upon inspection, O2 sensor was expired which needs to be replaced. Also, it was found that the inspiratory valve was damaged which needs replacement."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced. Also, it was found that the inspiratory valve was damaged which needs replacement."
General Adult/Pediatric,VG70,Issue,O2 sensor calibration failed.,"Upon inspection, O2 sensor was expired which needs to be replaced. Also, it was found that the inspiratory valve was damaged which needs replacement."
General with Neonatal,AVEA,Issue,Battery issue and O2 sensor calibration failed.,"Upon inspection, it was found that the O2 sensor was expired and there was no backup battery power which needs replacement to make the ventilator fully functional."
General Adult/Pediatric,AVEA,Issue,Battery issue and O2 sensor calibration failed.,"Upon inspection, it was found that the O2 sensor was expired and there was no backup battery power which needs replacement to make the ventilator fully functional."
General Adult/Pediatric,AVEA,Issue,Reported to verify the functionality of the machine.,"After performing comprehensive tests, it was confirmed that the machine is working smoothly."
General Adult/Pediatric,AVEA,Issue,Reported to verify the functionality of the machine.,"After performing the comprehensive tests, it was confirmed that the machine is working smoothly."
General with Neonatal,AVEA,Issue,Reported to verify the functionality of the machine.,"After performing comprehensives tests, the machine was working smoothly."
Biphasic,TEC-7621K,Issue,Paddle wire damaged.,"During the inspection, it was identified that the paddle cable is damaged. To ensure safe and reliable defibrillator operation, replacement of the paddle cable is required. Continuing to use the device without replacing this component may result in functional failure or safety risks."
Biphasic,S8,Issue,Battery issue,"During the inspection, it was observed that the machine does not contain an internal backup battery. To ensure proper functionality and uninterrupted operation of the system, installation of the required battery is necessary."
General Adult/Pediatric,Savina,Issue,Issue on both Internal and External Batteries.&nbsp;,"Inspection and testing revealed that the battery voltage has fallen below the acceptable threshold, resulting in operational instability and unreliable backup performance. The batteries should be reconditioned and fully charged to restore proper voltage levels and stable functionality. If reconditioning is unsuccessful, replacement of the batteries with the specified serial numbers will be required."
,EN-V7 SMART,Issue,No battery backup,Battery was completely depleted and need replacement
General Adult/Pediatric,N/A,Issue,&nbsp;Issue on both Internal and External Batteries.&nbsp;,"Inspection and testing revealed that the battery voltage has fallen below the acceptable threshold, resulting in operational instability and unreliable backup performance. The batteries should be reconditioned and fully charged to restore proper voltage levels and stable functionality. If reconditioning is unsuccessful, replacement of the batteries with the specified serial numbers will be required."
General Adult/Pediatric,N/A,Issue,&nbsp;Issue on both Internal and External Batteries.&nbsp;,"Inspection and testing revealed that the battery voltage has fallen below the acceptable threshold, resulting in operational instability and unreliable backup performance. The batteries should be reconditioned and fully charged to restore proper voltage levels and stable functionality. If reconditioning is unsuccessful, replacement of the batteries with the specified serial numbers will be required."
General Adult/Pediatric,N/A,Issue,&nbsp;Issue on both Internal and External Batteries.&nbsp;,"Inspection and testing revealed that the battery voltage has fallen below the acceptable threshold, resulting in operational instability and unreliable backup performance. The batteries should be reconditioned and fully charged to restore proper voltage levels and stable functionality. If reconditioning is unsuccessful, replacement of the batteries with the specified serial numbers will be required."
General Adult/Pediatric,VG70,Issue,Expired Oxygen Sensor.,"Upon inspection, it was found that the ventilator was functioning properly but the oxygen sensor was expired which needs replacement."
General Adult/Pediatric,16532-10,Issue,Damaged Expiratory Port.,"During inspection, it was observed that the expiratory port of the ventilator is damaged, and the touchscreen is not responding properly. To restore full functionality, the expiratory port, internal battery and oxygen sensor must be replaced."
General Adult/Pediatric,AVEA,Issue,Power Board Issue,"During inspection, it was observed that the power board spikes were damaged due to high voltage fluctuations. The power board of the ventilator with the serial number listed above can be repaired and made operational without the spike component; however, in such a condition, the ventilators will remain unprotected against future voltage fluctuations. Since the required spike components are currently unavailable in the market, a permanent protection solution cannot be implemented at this stage. The ventilators can still be used if required or kept as replacements, but with the noted limitation regarding voltage protection. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
General Adult/Pediatric,Avea,Issue,Power Board Issue,"During inspection, it was observed that the power board spike was damaged due to high voltage fluctuations. The power boards of the ventilator with the serial number listed above can be repaired and made operational without the spike component; however, in such a condition, the ventilators will remain unprotected against future voltage fluctuations. Since the required spike components are currently unavailable in the market, a permanent protection solution cannot be implemented at this stage. The ventilator can still be used if required or kept as replacements, but with the noted limitation regarding voltage protection. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
General Adult/Pediatric,Hamilton C1,Issue,Oxygen sensor failure and internal battery issue.,"Upon inspection, the machine was operating but internal battery and oxygen sensor needs to be replaced."
General Adult/Pediatric,Hamilton C1,Issue,Power Board Missing&nbsp;,"Upon inspection, it was found that the power board is missing. To restore functionality, an external 6A power supply has been planned for use with this ventilator. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation.&nbsp;"
General Adult/Pediatric,Hamilton C1,Issue,Power Board Issue&nbsp;,"Upon inspection, it was found that the power board components were damaged. To restore functionality, an external 6A power supply has been planned for use with this ventilator. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
General Adult/Pediatric,Hamilton C1,Issue,Power Board Issue,"During inspection, it was observed that the power board spike was damaged due to high voltage fluctuations. The power board of the &nbsp;ventilator with the serial numbers listed above can be repaired and made operational without the spike component; however, in such a condition, the ventilator will remain unprotected against future voltage fluctuations. Since the required spike components are currently unavailable in the market, a permanent protection solution cannot be implemented at this stage. The ventilator can still be used if required or kept as replacements, but with the noted limitation regarding voltage protection. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
5 Parameters Bedside,IT 12,Issue,Monitor was in nonfunctional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Further inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
General Adult/Pediatric,Hamilton C1,issue,Power Board Issue,"During inspection, it was observed that the power board spikes were damaged due to high voltage fluctuations. The power boards of the &nbsp;ventilator with the serial number listed above can be repaired and made operational without the spike component; however, in such a condition, the ventilator will remain unprotected against future voltage fluctuations. Since the required spike components are currently unavailable in the market, a permanent protection solution cannot be implemented at this stage. The ventilator can still be used if required or kept as replacements, but with the noted limitation regarding voltage protection. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
General Adult/Pediatric,Hamilton C1,ISSUE,Power Board Issue,"During inspection, it was observed that the power board spikes were damaged due to high voltage fluctuations. The power board of the ventilator with the serial number listed above can be repaired and made operational without the spike component; however, in such a condition, the ventilator will remain unprotected against future voltage fluctuations. Since the required spike components are currently unavailable in the market, a permanent protection solution cannot be implemented at this stage. The ventilator can still be used if required or kept as replacements, but with the noted limitation regarding voltage protection. In addition, the internal battery requires replacement, and new oxygen sensors are also needed to ensure proper operation."
Portable,APOGEE5300,ISSUE,"Display touchscreen not working. Also, both curvilinear and linear probe is damaged.","Upon inspection, the machine was found to be in a critical condition, heavily contaminated with dust and debris. A thorough internal and external cleaning was performed. Subsequent functional testing revealed that the touchscreen display was non-responsive. The display board/panel was inspected and cross-verified, confirming that the display panel is faulty and requires replacement. Additionally, both probes were found to be damaged and require replacement."
Portable,APOGEE5300,ISSUE,Curvilinear probe is damaged.,"Upon inspection, it's surface was cracked which causes the gel to enter inside the piezoelectric crystal. Due to this piezoelectric crystal was damaged which cannot be repaired so probe needs replacement."
General Adult/Pediatric,R50,ISSUE,Medical staffs finds it difficult to use.,"According to the department in-charge, these ventilators are currently not being used because doctors and other medical staff find them difficult to operate. However, the machines have been inspected and are in fully functional condition."
General Adult/Pediatric,R50,ISSUE,Medical staffs finds it difficult to use.,"According to the department in-charge, these ventilators are currently not being used because doctors and other medical staff find them difficult to operate. However, the machines have been inspected and are in fully functional condition."
,,issue,No rotation of scalar as well as no air and water in the system.,Found no compressed air to the system. Turn on the broken valve switch and passed air to the system.
,MBK OC NO 0886/12,Issue,"User complaint of no up, down movement of the chair.",Inspected and found no issues.
,,Issue,No water flow &nbsp;in the handpieces as well as basin.,"Inspected and found very low pressure in the water bottle. Found booster was turned off, turned on the booster."
,,Issue,Micromotor rotation speed low.,Inspected and found the carbon brush degraded. There is minimal and intermittent contact with the rotor causing reduction in speed.
General Adult/Pediatric,R50,ISSUE,Medical staffs finds it difficult to use.,"According to the department in-charge, these ventilators are currently not being used because doctors and other medical staff find them difficult to operate. However, the machines have been inspected and are in fully functional condition."
,Endoplus 811,Issue,"Shock wave generator was unable to generate &nbsp;wave continously, &nbsp;and Fan was functional only in one position.","The issue shock wave generator was addressed and resolve the problem. Likewise, Fan connection was reset and made completly functional."
5 Parameters Bedside,IT 12,Issue,Montior was in non fucntional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Further inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
5 Parameters Bedside,iT12,Issue,Montior was in non fucntional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Futhter inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
5 Parameters Bedside,H9,Issue,The device needs pre operational test,Inspected and found out the device needs few accessories
5 Parameters Bedside,IT 12,Issue,Monitor was in nonfunctional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Further inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
5 Parameters Bedside,iT12,Issue,Monitor was in non-functional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Further inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
5 Parameters Bedside,IT 12,Issue,Monitor was in non-functional state since COVID. Monitor was unable to power on.,Upon inspection found that the power board had issue. Further inspection found that the capacitor within the power board was faulty. 1000 micro farad Capacitor was replaced and tested the monitor. Monitor was powered on successfully.
General Adult/Pediatric,N/A,Issue,Showing Communication Error.,Ventilator display board connection was reconnected and made the mitigate the error. Pre op test was performed and made then machine fully functional.
7 Parameters Bedside,iMEC10,Issue,Reported no ECG waveform was detected,"While assesing the monitor, Initally Monitor wasn't showing ECG waveform. Monitor was showing error:ECG lead off So we connected the ECG probe. Monitor started to show the ECG waveform."
Pre-vacuum,20HA/E,Issue,Autoclave was non fuctional. Reported Machine displayed cycle end in 15 min without completion of Full cycle.,"Upon inspection we found that water motor was not pumping water so the valve was cleaned. Autoclave was restarted and observed the cycle. Chamber temperature was unable to meet,so performed drain valve was checked and tightened the valve. Afterward,chamber temperature rised to desired valve. Autoclave is made functional.&nbsp;"
General Adult/Pediatric,AVEA,Issue,Requested for pre operational test.,Ventilator preoperational test was performed and kept in standby position.
