Equipment Description,Manufacturer,Model,Problem ,Work Done 
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,The touchscreen display of the patient monitor was unresponsive.,"The internal cable responsible for touch functionality had become disconnected from the designated connector on the interface board. The cable was securely reconnected to its designated place. After reassembly, the touchscreen functionality was fully restored."
Colposcope,Lutech,LT-300SD,Issue with no image on the screen.,"Issue with no image on the screen was assessed and loose connections was the problem. So, we properly connected the wires and the problem was resolved."
Syringe Pump,Smiths Medical,Graseby C9,Device repeatedly turning off.,"An initial assessment was conducted to investigate the reported issue. The battery was removed, and its voltage was checked, confirming a low battery condition. The battery was then charged for a period. Following the charging, the device was tested and found to be functioning correctly without further power interruptions. It was determined that the issue was primarily due to a depleted battery. Device restored to operational condition . The issue was resolved by charging the depleted battery."
Syringe Pump,Smiths Medical,Graseby C9,"Device displaying transmission error during operation.
","The device was displaying a transmission error during operation. To address the issue, all internal cables were disconnected, and the internal syringe plunger mechanism was accessed for inspection. The internal components were carefully disassembled, cleaned, and reassembled to ensure proper alignment and functionality. All connections were re-secured, and the device was reassembled completely. After reassembly, the syringe pump was tested extensively. The transmission error was no longer present, and the device operated normally throughout multiple test cycles
"
Nebulizer,Optima Care,,Switch failure ,"The original switch was found to be damaged and was replaced. Additionally, the motor was lubricated to improve its operational smoothness. The switch failure is attributed to continuous use of the nebulizer. The switch has been replaced, and the motor has been lubricated. The nebulizer is restored to operational condition."
ECG Machine,Philips,PageWriter TC20," Artifacts observed in ECG waveform.
","Upon inspection, the ECG leads were examined, and a significant buildup of conductive gel and residue was observed on the electrodes. This was likely responsible for the signal artifacts affecting the ECG waveform quality. A diagnostic check of the system was performed, including lead shortage test  and assessment for waveform interference in water. These tests confirmed that there were no lead shortages or faults in the ECG cables or connectors. Following thorough cleaning of the electrodes and removal of all gel residue, a repeat ECG test was conducted. The waveform appeared clear, with no artifacts present.
"
Bain Circuit,,,"The bain circuit was reported to be non-functional.
","Upon inspection, the Bain circuit was found to be bent and had a leakage. The damaged part of the tube was cut off, and the remaining ends were reconnected securely. The circuit was checked for any other leaks and tested. It is now working properly without any leakage or pressure issues. Circuit restored to proper working condition.
"
Patient Monitor,Philips,Efficia CM120,Routine Inspection.,"A comprehensive functionality check was conducted on the patient monitor, including its key accessories: ECG cable, SpO2 sensor cable, and NIBP (Non-Invasive Blood Pressure) cuff and cable. All components were tested for operational integrity and accuracy. The patient monitor and all associated accessories are fully functional. The unit is ready for clinical use in OT."
Chest Vibrator,,,The vibrator was reported as non-functional due to a lack of continuity in the main power wire.,"Investigation revealed the point of discontinuity within the main power wire. The faulty section of the wire was repaired by adding a good, continuous piece of wire to restore the electrical path. Following the repair, the vibrator was tested and confirmed to be fully functional.
"
CO2 Insufflator,Devine Meditech,30L ADVANCE,The device was non-functional and displayed an error code.,"Upon inspection, the CO₂ insufflator was found to be displaying an error code, which was traced to an insufficient supply of CO₂ gas from the connected cylinder. To resolve the issue, the CO₂ flow from the cylinder was gradually increased until the error code disappeared. A comprehensive functionality test was then performed, confirming that the device was operating within normal parameters and the error code no longer appeared."
Vibrator,,,Device was non-functional and did not power on.,"Upon inspection, the massager was found to be unresponsive. A continuity check was performed on the power supply cable, which revealed an internal break in a section of the wire, preventing electrical flow. The damaged portion of the wire was removed, and the remaining ends were reconnected and securely insulated.
After repair, the device was tested under normal operating conditions. The motor engaged correctly, and the unit delivered consistent vibration output, indicating successful restoration."
Sphygmomanometer,,,Leakage in the one-way valve.,"The one-way valve was found to be stuck because of which there was an air leakage. The one-way valve could not be repaired and as a solution, the entire inflation bulb assembly, which includes the one-way valve, was replaced with from another non- functional sphygmomanometer. The device was then reassembled and tested for performance. Inflation bulb successfully replaced. The sphygmomanometer is now functioning properly with no leakage and accurate readings.
"
Sphygmomanometer,,,Pressure gauge needle was not resting at the zero position.,"The pressure gauge was found to be misaligned, with the needle not returning to the zero mark.The gauge was carefully realigned to ensure accurate baseline readings. Pressure gauge successfully adjusted. The sphygmomanometer is now functioning correctly and providing accurate readings."
Sphygmomanometer,,,"Leakage detected in the tubing.
","The section of the tubing exhibiting leakage was identified. The damaged portion was cut and removed, followed by reassembly of the tubing to ensure a secure and functional connection. Instrument repaired successfully and is now operating correctly, displaying accurate blood pressure readings."
Hydrocollator,,,Did not power on.,"Upon inspection, it was found that the neutral (black) wires had become disconnected from their terminals inside the machine. The disconnection likely occurred due to internal corrosion and prolonged mechanical strain, as evident from the rust and burn marks near the cable entry point. The disconnected neutral wires were properly stripped, reconnected to their respective terminals, and insulated to ensure safe operation. Ground continuity was also verified.After the reconnection, the unit was powered on and tested. It began heating normally, confirming that the electrical connection had been successfully restored."
Sphygmomanometer,,,Pressure gauge needle was not resting at the zero position.,"The pressure gauge was found to be misaligned, with the needle not returning to the zero mark.The gauge was carefully realigned to ensure accurate baseline readings. Pressure gauge successfully adjusted. The sphygmomanometer is now functioning correctly and providing accurate readings."
Refrigerator,Hisense ,,"Reagent samples were found frozen, and water accumulation was observed at the bottom of the refrigerator. The required operating temperature was 2 – 8 °C.","An initial inspection revealed that the stored reagent samples had frozen, and there was noticeable water pooling at the base of the refrigerator compartment. This suggested a possible temperature regulation issue. To investigate, the refrigerator's temperature regulation control setting (range 1–8) was evaluated. A temperature sensor was used to monitor and record internal temperatures across various settings. The readings were consistent with expected performance, showing appropriate temperature variation in relation to the regulator's position."
Syringe Pump,Smiths Medical,Graseby C9,Device repeatedly turning off.,"An initial assessment was conducted to investigate the reported issue. The battery was removed, and its voltage was checked, confirming a low battery condition. The battery was then charged for a period. Following the charging, the device was tested and found to be functioning correctly without further power interruptions. It was determined that the issue was primarily due to a depleted battery. Device restored to operational condition . The issue was resolved by charging the depleted battery."
Syringe Pump,Smiths Medical,Graseby C9,Transmission error,"The device was displaying a transmission error during operation. The transmission error occurs when there is a problem with the syringe plunger. To address the issue, all internal cables were disconnected, and the internal syringe plunger mechanism was found to be locked.
Due to this, the plunger was fixed at a point and could not be moved. The locked component within the syringe pump plunger mechanism was carefully unlocked and reassembled to ensure proper alignment and functionality. All connections were re-secured, and the device was reassembled completely. After reassembly, the syringe pump was tested extensively. The transmission error was no longer present, and the syringe pump delivered the set VTBI without any interruptions."
Ventilator,Hamilton,C1,Flow sensor problem.,"Pre-operational tests were conducted, including the leak test and flow sensor test. The ventilator successfully passed these initial checks. During further testing of the ventilator's operation, the device repeatedly displayed the “Flip the tubing of the flow sensor”. Despite flipping the flow sensor tubing, the ventilator continued to show high leakage rates and was unable to deliver the set tidal volume. A detailed inspection of the tubing connections revealed that the flow sensor tubing was loosely connected, leading to the leakage and malfunction. The tubing was properly secured and reconnected. After correcting the tubing connection, the ventilator was re-tested. No further flow sensor errors were observed, and the ventilator successfully delivered the set tidal volume."
Syringe Pump,Smiths Medical,Graseby C9,Transmission error.,"The device was displaying a transmission error during operation. To address the issue, all internal cables were disconnected, and the internal syringe plunger mechanism was accessed for inspection. The internal components were carefully disassembled, cleaned, and reassembled to ensure proper alignment and functionality. All connections were re-secured, and the device was reassembled completely. After reassembly, the syringe pump was tested extensively. The transmission error was no longer present, and the device operated normally throughout multiple test cycles.
"
Syringe Pump,Smiths Medical,Graseby C9,Device repeatedly turning off.,"An initial assessment was conducted to investigate the reported issue. The battery was removed, and its voltage was checked, confirming a low battery condition. The battery was then charged for a period. Following the charging, the device was tested and found to be functioning correctly without further power interruptions. It was determined that the issue was primarily due to a depleted battery. Device restored to operational condition . The issue was resolved by charging the depleted battery."
Ventilator,Hamilton,C1,The ventilator was reported as non-functional and unable to power on.,"Upon inspection, it was observed that the ventilator did not respond when connected to the power supply. Further examination revealed that the wire was disconnected from the power plug, resulting in the device not receiving electrical power. The disconnected wire was securely reconnected to the plug. Following the reconnection, the ventilator was successfully powered on. Upon startup, the device displayed a low battery warning, indicating that it had not been charged for a considerable period. It is recommended to charge the ventilator fully to maintain battery health.
"
ECG Machine,ECGMAC,EM301,"The ECG machine was reported to have an issue with printing.
","During inspection, it was observed that the ECG waveforms printed on the paper were faint and unclear, making interpretation difficult. As a first step, the thermal print head was cleaned to eliminate any potential residue that could affect print quality. However, the issue persisted even after cleaning. Subsequently, the ECG paper was replaced, and after replacement, the machine printed waveforms clearly and accurately, indicating that the problem stemmed from defective or incompatible ECG paper. The machine is now fully operational."
Central Monitoring System,Philips,Efficia CM120,"Reported as non-functional.
","The Central Monitoring System was found to be non-operational due to improperly connected components. Notably, the data transmission cables were not firmly attached to the system’s connection hub, as indicated by the inactive green status light. Furthermore, the USB license key had not been fully inserted into its assigned port, which resulted in a failure of system authentication. To resolve the issue, all data transmission cables were securely reconnected to the hub to reestablish proper signal flow. The USB license key was also fully inserted into the designated port, enabling the necessary software validation. Post-maintenance testing confirmed that the system was functioning normally. It successfully resumed real-time monitoring, with patient vital signs being accurately transmitted from bedside monitors to the central station, without any anomalies."
Syringe Pump,Smiths Medical,Graseby C9,No display.,"Upon initial inspection, the syringe pump did not power on despite being properly connected to an external power source. The device was subsequently disassembled, and it was discovered that the ribbon cable connecting the main control board to the display module had become disconnected from its designated connector. The ribbon cable was carefully reconnected to its appropriate connector. Once reconnected, the device was powered on, and the display resumed normal operation. The syringe pump was tested and was found to be fully functional.
"
Patient Bed,,,"Remote control unresponsive.
","Upon inspection, the remote control was found to be unresponsive, with the bed movement functions not activating. The remote control and its connecting cables were inspected, and no visible damage was found on the exterior, but signal transmission appeared faulty. Input and output voltages from the bed’s power box were measured. Output voltage was within the acceptable operational range, confirming that the power supply was not the issue. While pressing the buttons on the remote, it was observed that the relay switches were not being triggered.  Further inspection revealed that the cable connection to the power box was loose. The connections were properly secured. After securing the connections, the remote control became responsive. All movement functions of the bed were successfully tested and confirmed operational."
Drill Machine,INGCO,,The drill bit was stuck and could not be removed.,"Upon inspection, it was observed that the drill bit was firmly stuck due to rust and the accumulation of debris and surgical residues. This build-up caused the moving components to seize, preventing normal operation and removal of the bit. The affected area was thoroughly cleaned, and lubricant was applied to loosen the components. After sufficient dwell time, the stuck drill bit was successfully removed without causing damage to the mechanism. The drill was then fully disassembled to inspect internal components, particularly the gear assembly. Internal gears and moving parts were cleaned and lubricated to restore smooth functionality and prevent future seizing. The unit was reassembled and functionally tested."
Patient Bed,,,Bed was not receiving power and was non-functional.,"Initial checks showed no power supply to the bed. Continuity testing revealed a fault in the plug. Upon inspection, internal wires were found frayed and nearly touching, posing a risk of short circuit. The wiring was corrected, secured properly, and the plug reassembled. "
Syringe Pump,Smiths Medical,Graseby C9,Device automatically powers off when switched ON.,"Upon inspection, it was found that the syringe pump was automatically shutting down immediately after being turned ON. This behavior was traced to a dead internal battery, which was unable to supply the necessary power for startup. To resolve the issue, the non-functional battery was replaced with a working battery taken from another non-functional syringe pump. After replacing the battery, the syringe pump powered on normally and remained operational without shutting off. The device was tested thoroughly to ensure consistent performance and functionality. No further issues were observed during the test operation.
"
Syringe Pump,Mindray,Benefusion SP3,Device not powering ON.,"Upon inspection, it was found that the DC converter circuit board had a damaged IC , which led to battery depletion. As a result, the device was not charging or turning on.
The faulty circuit board was replaced using a board from another non-functional syringe pump (with a different issue). After replacement, the syringe pump powered on successfully. Calibration was performed to ensure proper functionality. Device restored to full working condition."
ECG Machine,Philips,PageWriter TC20,"Artifacts appearing in ECG waveform.
","A diagnostic evaluation was conducted to investigate the presence of waveform artifacts. An initial lead shortage test was performed, which revealed no issues or discontinuities in the lead wires. It was observed that a significant amount of dried and excess conduction gel had accumulated on the suction and limb electrodes. This residue was interfering with proper signal conduction, resulting in the artifacts seen on the ECG output. All electrodes and leads were thoroughly cleaned to remove the conduction gel buildup. To verify signal integrity, the ECG cable was subsequently tested in water, and no artifacts were observed during this testing.

"
Ventilator,Hamilton,C1,Ventilator not charging.,"The ventilator was initially reported to have a charging issue. Upon inspection, it was found that a disconnected wire in the power plug was preventing proper charging. This connection was restored, and the power supply to the ventilator resumed. However, despite extended charging, the ventilator continued to display a low battery alarm, eventually escalating to a depleted battery alarm. This indicated that the internal battery had deteriorated to the point where it could no longer hold a charge. The battery was confirmed to be fully depleted and was subsequently replaced with a new, compatible unit. After the battery replacement, the ventilator underwent comprehensive performance testing. Functional verification was conducted using a VT900A Gas Flow Analyzer. Parameters including tidal volume, PEEP, and FiO₂ were compared between the ventilator's set values and the actual readings captured by the analyzer. The ventilator successfully delivered the set tidal volume and matched the expected performance across all parameters, confirming its operational integrity. The ventilator is now fully operational and accurately delivering the configured ventilator parameters.
"
Gauze Cutter,Cupid 110,,"Gauze was not being cut properly.
",The issue was traced to a dull blade. We replaced the old blade with a new one and lubricated the necessary mechanical components to ensure smooth operation. The machine was then tested and confirmed to be functioning properly
Ventilator,Hamilton,C1,Routine maintenance and performance verification.,"A routine service and performance verification were carried out on the Hamilton C1 ventilator. The following checks and calibrations were performed using the manufacturer's service software, such as blower timer check, and alarm system test. Additionally, the flow sensor was calibrated to ensure accurate airflow and volume measurements. Post-calibration, the ventilator’s performance was verified using the VT900A Gas Flow Analyzer. Parameters such as tidal volume and FiO₂ were adjusted on the ventilator and cross-verified with the actual values measured by the analyzer. The measured values from the analyzer closely matched the configured settings on the ventilator, confirming that the device is accurately delivering the prescribed respiratory support."
Ventilator,Hamilton,C1,Routine maintenance and performance verification.,"A routine service and performance verification were carried out on the Hamilton C1 ventilator. The following checks and calibrations were performed using the manufacturer's service software, such as blower timer check, and alarm system test. Additionally, the flow sensor was calibrated to ensure accurate airflow and volume measurements. Post-calibration, the ventilator’s performance was verified using the VT900A Gas Flow Analyzer. Parameters such as tidal volume and FiO₂ were adjusted on the ventilator and cross-verified with the actual values measured by the analyzer. The measured values from the analyzer closely matched the configured settings on the ventilator, confirming that the device is accurately delivering the prescribed respiratory support."
Ventilator,Hamilton,C1,Routine maintenance and performance verification.,"A routine service and performance verification were carried out on the Hamilton C1 ventilator. The following checks and calibrations were performed using the manufacturer's service software, such as blower timer check, and alarm system test. Additionally, the flow sensor was calibrated to ensure accurate airflow and volume measurements. Post-calibration, the ventilator’s performance was verified using the VT900A Gas Flow Analyzer. Parameters such as tidal volume and FiO₂ were adjusted on the ventilator and cross-verified with the actual values measured by the analyzer. The measured values from the analyzer closely matched the configured settings on the ventilator, confirming that the device is accurately delivering the prescribed respiratory support."
Ventilator,Hamilton,C1,Routine maintenance and performance verification.,"A routine service and performance verification were carried out on the Hamilton C1 ventilator. The following checks and calibrations were performed using the manufacturer's service software, such as blower timer check, and alarm system test. Additionally, the flow sensor was calibrated to ensure accurate airflow and volume measurements. Post-calibration, the ventilator’s performance was verified using the VT900A Gas Flow Analyzer. Parameters such as tidal volume and FiO₂ were adjusted on the ventilator and cross-verified with the actual values measured by the analyzer. The measured values from the analyzer closely matched the configured settings on the ventilator, confirming that the device is accurately delivering the prescribed respiratory support."
Syringe Pump,Smiths Medical,Graseby C9,Transmission error.,"The device was displaying a transmission error during operation. To address the issue, all internal cables were disconnected, and the internal syringe plunger mechanism was accessed for inspection. The internal components were carefully disassembled, cleaned, and reassembled to ensure proper alignment and functionality. All connections were re-secured, and the device was reassembled completely. After reassembly, the syringe pump was tested extensively. The transmission error was no longer present, and the device operated normally throughout multiple test cycles."
OT Light,,,OT Light not functioning consistently. ,"An initial inspection was carried out following a report that the OT light was intermittently non-functional. It was observed that the light would turn on only when positioned in specific angles or orientations. The SMPS unit was tested, and its output voltage was found to be within the specified range. However, no voltage was detected on the light head’s internal board. Electrical continuity tests revealed inconsistent connectivity between the live and neutral wires—continuity was present in some positions and absent in others. This pointed to a possible fault in the internal wiring.  

The OT light was partially disassembled for a closer inspection. No visible damage or break in insulation was found in the accessible wiring. Further disassembly, specifically of the balancing arm section, revealed irregular continuity between the live and neutral wires, likely due to a loose or misconnected wire. The faulty wiring within the balancing arm was reconnected properly and thoroughly insulated. Post-repair, there was no longer any unexpected continuity between live and neutral wires. Voltage readings remained stable and within the appropriate range.

The OT light was fully reassembled, and its functionality was tested at various positions and angles. The light remained consistently operational throughout the testing process."
Syringe Pump,Smiths Medical,Graseby C9," Initially reported as a ""system error,"" upon double-checking, the device displayed a ""transmission error"" during operation. Following initial repair attempts, a ""syringe open check the plunger"" error also appeared.
"," Initial Attempt (Transmission Error):
‌The device was displaying a transmission error during operation.All internal cables were disconnected, and the internal syringe plunger mechanism was accessed for inspection.The internal components were carefully disassembled, cleaned, and reassembled to ensure proper alignment and functionality.All connections were re-secured, and the device was reassembled completely.

 Second Attempt (Syringe Open Error):
‌After the initial reassembly, the device displayed a ""syringe open check the plunger"" error.The plunger head was reopened, and every part of the plunger mechanism was again removed and reassembled. 

After the second reassembly, the syringe pump was tested extensively.The transmission error was no longer present, and the ""syringe open check the plunger"" error was also resolved.
‌The device operated normally throughout multiple test cycles, including successful calibration and infusion completion as shown in the provided images."
Ultrasound Therapy,Meditech,, Difficulty in adjusting intensity beyond 0.4.,"Upon inspection, it was observed that the intensity control knobs were functional. Rotating the knobs allowed the intensity to increase, and no fault was initially identified when tested. Further investigation revealed that the issue occurred when there was a mismatch between the frequency setting and the transducer type. When the frequency selector was set to 1 MHz while a 3 MHz transducer was connected, the device restricted the intensity output and did not allow it to increase beyond 0.4, regardless of knob adjustment. When the correct frequency setting (3 MHz) was selected corresponding to the connected transducer, the intensity could be adjusted normally. This behavior indicates a user-related operational error rather than a technical fault in the device. The device was tested extensively in both pulsed and continuous modes, using properly matched frequency and transducer combinations. In all scenarios, the intensity adjusted correctly and functioned within the expected parameters.

"
Syringe Pump,Mindray,Benefusion SP3,"An issue in dose delivery was reported. Specifically, the device displayed a ""syringe empty"" alert before the set volume was fully administered.","The syringe pump was tested, and it was observed that the pump prematurely indicated an ""empty syringe"" despite not completing the set volume. The device was calibrated to verify and correct volume delivery accuracy. A series of comprehensive functional tests were then performed. Post calibration, the syringe pump accurately delivered the complete VTBI without triggering false alarms.

 
"
Syringe Pump,Mindray,Benefusion SP3,"The device was displaying inaccurate remaining volume. When a 50ml syringe was used and the pump was set to deliver 50ml, the pump successfully delivered the entire 50ml from the syringe. However, the pump's display incorrectly indicated a remaining volume, even after the syringe was completely empty. This indicates a calibration discrepancy in the volume sensing mechanism.","o address the inaccurate volume display and ensure correct volume sensing, the syringe pump underwent a calibration procedure. Device restored to proper working condition. The calibration resolved the issue of inaccurate remaining volume display, and the pump is now running smoothly with correct volume readings."
Nebulizer,HANDYNEB ,Classic,Not turning ON.,"Upon visual inspection, we found that a wire was broken. We reconnected the wire. Additionally, the fan was dirty and the compressor required maintenance.
We cleaned the fan and lubricated the compressor. Nebulizer restored to proper working."
Mattress Inflator,,,"The air mattress pump was not operating, and upon investigation, a continuity problem was identified in the power wire. The wire was found to be disconnected, preventing power from reaching the pump's motor.
","The power cable was carefully inspected to locate the point of disconnection.
The faulty section of the wire was repaired to re-establish electrical continuity.
The connection was reinforced to prevent future disconnections."
Nebulizer,HANDYNEB,Classic,Not turning ON.,"Upon visual inspection, we found that a wire was broken. We reconnected the wire. Additionally, the fan was dirty and the compressor required maintenance.
We cleaned the fan and lubricated the compressor."
Nebulizer,HANDYNEB,Classic,"Device was producing excessive noise during operation.
","Upon visual inspection, it was found that the piston was dislocated and getting disconnected from the motor during operation due to a damaged piston lock. This was the cause of the abnormal noise and disturbance. Due to the damaged piston lock and dislocated piston, the nebulizer was discarded and removed from service.
"
BIPAP,Philips,BiPAP Pro Bi-Flex,Loud noise during operation.,"The BiPAP machine was disassembled for inspection and it was observed that significant dust and debris had accumulated within the internal connecting pipes, around the motor assembly, and in the inlet/outlet ports. This buildup was found to be the primary cause of the excessive noise during use, as it interfered with the smooth airflow and mechanical operation of the device.

All affected components were thoroughly cleaned, and after reassembly, the device was powered on and tested for operational performance. The machine functioned normally, and the previously reported loud noise was no longer present."
Patient Monitor,Philips,Efficia CM120,Routine inspection.,"A routine inspection was conducted on the patient monitor.The touchscreen, alarm system, and all control buttons were thoroughly tested. The functionality of all accessories—including ECG cables, SpO₂ probes, temperature probes, and NIBP cuffs—was also verified."
Patient Monitor,Philips,Efficia CM120,Routine Inspection.,"A routine inspection was conducted on the patient monitor.The touchscreen, alarm system, and all control buttons were thoroughly tested. The functionality of all accessories—including ECG cables, SpO₂ probes, temperature probes, and NIBP cuffs—was also verified."
Patient Monitor,Philips,Efficia CM120,Routine inspection.,"A routine inspection was conducted on the patient monitor.The touchscreen, alarm system, and all control buttons were thoroughly tested. The functionality of all accessories—including ECG cables, SpO₂ probes, temperature probes, and NIBP cuffs—was also verified."
Patient Monitor,Philips,Efficia CM120,Routine inspection.,"A routine inspection was conducted on the patient monitor.The touchscreen, alarm system, and all control buttons were thoroughly tested. The functionality of all accessories—including ECG cables, SpO₂ probes, temperature probes, and NIBP cuffs—was also verified."
ECG Machine,Philips,PageWriter TC20,Routine inspection.,"A routine inspection was carried out on the ECG machine. The leads and electrodes were examined for the accumulation of conductive gel, which was subsequently cleaned. The ECG lead functionality was tested for waveform interference in water.

Touchscreen responsiveness, print functionality, and potential lead shortages were assessed. Additionally, the printer roller and thermal print head were cleaned."
ECG Machine,Biocare,iE6,Routine inspection.,"A routine inspection was carried out on the ECG machine. The electrodes and leads were examined for any accumulation of conductive gel, which was subsequently cleaned. The functionality of the ECG leads was verified using waveform interference testing in water. The touchscreen, printing functions, and any potential lead faults were also thoroughly checked. Additionally, the printer roller and thermal print head were cleaned to ensure optimal performance."
Protein Analyzer,AGAPPE,Mispa-i3,Discrepancy between the number of available test cartridges and the number of tests displayed on the system.,"Upon inspection, it was observed that the number of test cartridges did not match the remaining test count shown on the display. Specifically, the system showed fewer remaining tests despite the availability of more cartridges, resulting in the premature disposal and wastage of usable cartridges. The issue was determined to be due to incorrect handling of the test card by the user, which led to a mismatch in cartridge recognition by the system. No hardware or software fault was identified in the analyzer itself.
"
ECG Machine,Philips,PageWrter TC20,Abnormal ECG waveform color – Lead III displayed yellow while others remained green.,"Upon inspection, it was observed that the waveform corresponding to Lead III appeared yellow, in contrast to the standard green waveforms of other leads. This suggested a potential signal quality issue.

The ECG connector was initially found to be not fully inserted. After securely reconnecting it, the issue still persisted. A lead shortage was conducted using the machine’s diagnostic tool. No lead shortages were detected in the ECG cable.   

A visual inspection of the ECG cable and suction electrodes revealed a significant accumulation of conductive gel on both components. This contamination can interfere with signal quality and transmission.

All ECG leads and suction electrodes were thoroughly cleaned to remove the conductive gel residue. The cable functionality was verified using a waveform interference test in water. After cleaning, the ECG waveform for Lead III returned to green, matching the others. Multiple test runs were performed to ensure consistent and accurate ECG waveform display.
"
Central Monitoring System,Philips, Efficia CM120,Patient data from bedside monitors was not displaying on the Central Monitoring System.,"An issue was reported where the CMS failed to display patient data from one side of the bedside monitors in the post-op, indicating a potential disruption in data communication between the monitors and the CMS. The connection hub of the CMS was inspected. It was observed that the green indicator LED, which confirms active and secure transmission cable connection, was not illuminated, suggesting a connectivity issue. A detailed check revealed that the data transmission cable had been accidentally disconnected from the connection hub. 

The disconnected transmission cable was securely reconnected to the appropriate port on the connection hub. Once reconnected, the green indicator LED turned on, confirming successful re-establishment of the communication link. The CMS immediately began receiving and displaying real-time vital parameters from the affected bedside monitors."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,"The patient monitor was displaying a solid red screen , rendering it unusable for patient monitoring. This indicated a potential display or internal connection issue . ","The patient monitor was powered down and carefully opened to access internal components. Internal connections, likely associated with the display, were identified. The loose cables were then secured, restoring proper functionality. Device restored to proper working condition. Re-seating the internal connections resolved the display anomaly, and the monitor is now showing accurate patient parameters correctly."
Hydro Extractor,Ramsons,,Improper water drainage.,"Upon inspection, it was found that a towel had become lodged in the drain outlet, obstructing the flow of water. Initial attempts to remove the towel manually from the outlet were unsuccessful due to the tight entanglement.

To access and clear the obstruction, the outer casing of the hydro extractor was carefully disassembled. Once removed, the towel was successfully extracted from the drain outlet.

After reassembling the outer casing, the machine was tested for operation. However, the hydro extractor failed to power on. Further investigation revealed that a power supply wire had been disconnected, likely during the casing removal or reassembly process. The disconnected wire was reconnected securely.

Upon restoring the connection, the hydro extractor powered on successfully and was tested for functionality. The machine is now fully functional."
Ultrasound Therapy,Technomed Electronics,Electroson-608,The unit was reported to be non-functional.,"Upon inspection, the following issues were identified: the intensity level could not be adjusted despite rotating the encoder knob and the ultrasound probe insertion port was found to be physically displaced.

Internal inspection revealed that the encoder's pin on the PCB exhibited a discontinuity. A continuity check traced the issue to a cold solder joint on the encoder pin and a disconnected wire from the encoder connector.

The pin was properly resoldered, and the wire securely reconnected. Additionally, the port was realigned and securely fixed in its proper position.

After restoring intensity adjustment, the unit still did not produce ultrasound output. The probe connector and wiring were thoroughly inspected. A discontinuity was detected between the connector and the probe head. The wire was resoldered and securely reconnected. The secure connection was verified through continuity test."
Patient Monitor,Schiller,TRUSCOPE Ultra Q7,No NIBP reading displayed.,"The patient monitor was disassembled for internal inspection. It was observed that the connector linking the NIBP pump assembly to the main control board was disconnected. The connector was securely reattached, and the monitor was powered on for functional testing.

Despite this, the monitor continued to fail in displaying the NIBP reading. To isolate the issue, the BP cuff and the BP connecting cable were replaced using components from a known functional unit. After replacement, the monitor successfully displayed the NIBP reading, indicating that the issue was not with the internal circuitry or pump assembly.

The fault was traced to the defective BP connecting cable, which was confirmed through cross-testing. The monitor’s internal systems, including the pump and electronics, are fully operational.
"
Nebulizer,HANDYNEB,Classic,Not turning ON.,"Upon visual inspection, we found that a wire was broken. We reconnected the wire."
Mammogram,Allengers,Venus,"Improper X-ray exposure on the Bucky assembly, leading to blind spots and incomplete breast imaging.
","The mammogram unit was inspected due to improper X-ray exposure on the Bucky plate, resulting in blind spots and incomplete coverage. Diagnostic checks indicated misalignment in the collimator system. The collimator window was opened, and the internal mirror was found slightly misaligned. The mirror angle was adjusted to realign the light field with the Bucky plate.
Additionally, a disconnected wire was found in the display unit. The wire was securely reconnected, restoring display functionality.
After reassembly, test exposures confirmed proper X-ray coverage and elimination of blind spots. The display remained fully operational during testing.
"
Nebulizer,HANDYNEB,Classic,Not turning ON.,"Upon visual inspection, we found that a wire was broken. We reconnected the wire. Additionally, the fan was dirty and the compressor required maintenance.
We cleaned the fan and lubricated the compressor. Nebulizer restored to proper working."
Mattress Inflator,,,"The air mattress pump was not operating,  
","upon investigation,The wire was found to be disconnected, preventing power from reaching the pump's motor.
The power cable was carefully inspected to locate the point of disconnection.
The faulty section of the wire was repaired to re-establish electrical continuity. Device restored to proper working condition. The continuity problem in the wire has been resolved, and the air mattress pump is now functioning correctly
 "
ECG Machine,Philips,PageWriter TC20,Artifacts appearing in V3 waveform.,"A diagnostic evaluation was conducted to investigate the presence of waveform artifacts. An initial lead shortage test was performed, which revealed no issues or discontinuities in the lead wires. 

It was observed that a significant amount of dried and excess conduction gel had accumulated on the suction and limb electrodes. This residue was interfering with proper signal conduction, resulting in the artifacts seen on the ECG output.

All electrodes and leads were thoroughly cleaned to remove the conduction gel buildup. To verify signal integrity, the ECG cable was subsequently tested in water, and no artifacts were observed during this testing."
C2 Insufflator,,ADVANCE 30 L,The CO₂ insufflator was reported to be non-functional.,"Upon receiving the unit, the CO₂ insufflator was connected to a CO₂ supply for functional assessment. When the output was activated, a gas leakage was observed originating from within the unit.

The device was carefully disassembled to trace the source of the leakage. Inspection revealed a damaged internal pipe, which was causing the gas to escape. The damaged pipe was removed and replaced with a compatible new one.

After reassembly, the insufflator was reconnected to the CO₂ source, and a thorough functionality test was conducted. No further leakage was observed, and the device operated within normal parameters, confirming successful repair."
